VALUE	ABB	AVL
450745861	35	16
766065594	35	18
1603104769	44	16
2038343554	31	17
11441280	29	17
1895921898	34	17
240467358	39	14
1995174898	34	16
1448944217	39	16
2112356904	29	16
651584392	41	17
1454548117	44	16
329081675	34	16
329954545	35	16
462981159	37	18
171301820	43	16
847192713	31	17
1575406133	47	16
1544451080	34	16
875635090	40	18
1942587488	33	17
895668050	38	15
295592534	37	16
1177322975	43	18
1836569275	38	16
1302457542	34	16
1030075201	37	18
964188578	39	17
674479158	38	17
107578506	43	17
862665845	44	17
1125225020	32	18
873644100	42	16
318286966	31	16
1016084926	36	17
885085380	39	16
66725216	44	16
1256552284	37	16
732776631	37	17
1515669434	43	16
1221425541	43	16
1384361023	43	16
822733903	30	18
1550507216	43	16
1714315568	27	16
1285715062	42	17
1721809036	31	17
414024633	36	15
713637547	33	16
1118776468	34	17
1289659723	35	16
508741387	41	16
2014444518	37	15
1585252257	35	15
1686064363	34	16
1703530145	35	16
740226151	31	17
568655916	39	15
520235076	36	17
1414705310	33	15
676234422	40	17
1382900921	50	16
392446682	37	16
1549878523	40	17
1701187887	32	15
1408531608	38	15
287480255	35	15
1767913103	40	15
517600244	34	18
1020256886	38	18
1136098889	44	18
1739025785	37	16
257134261	37	15
1958832792	26	16
1142049354	36	17
1971449829	36	15
1097064206	34	16
716374742	31	16
237990814	40	16
1810701753	36	16
1835151211	32	15
1527650537	36	17
171959493	43	15
1702112081	30	13
965419147	35	17
1858023856	35	16
1258158579	40	16
1705645298	32	17
279196124	31	16
1778393655	39	15
972866960	42	17
955430546	44	17
1013810928	35	17
1365313642	33	16
357825421	35	15
567515167	39	17
626361602	43	16
645305677	41	15
187944622	37	15
1143961847	34	18
1665562563	32	16
1324043512	41	17
735503984	48	18
1922696825	30	15
1135392656	35	18
1877553338	35	15
1746663006	35	16
84973215	38	15
446444433	33	16
1984653821	30	16
1895674968	34	16
134111996	41	17
1364820710	36	16
2067634461	37	15
1836224077	32	15
182756209	37	16
1778174669	37	14
946899008	36	17
1888401508	39	15
2057370793	31	15
577809015	33	16
713784820	38	17
865317692	46	17
1591619943	39	15
2079098463	32	15
1223143113	41	16
11651462	28	16
557976417	39	16
1868448790	34	15
199596085	35	15
1701938264	30	14
1386527706	37	15
1523639597	42	17
289958601	32	16
1161740883	35	18
511548605	36	15
20028291	34	15
760920241	35	17
596521820	32	16
466472724	35	17
598090414	35	15
344713141	38	15
600584720	33	15
1962911125	26	16
264863954	46	16
289325150	33	15
2145667334	25	16
2043038624	32	16
1236224158	42	17
1886585194	36	16
1952925769	29	16
1814033174	32	16
452886367	31	17
670759813	38	18
1258169469	42	16
384501182	39	15
1893902927	32	17
1269820932	33	15
942477599	33	16
1614868069	41	15
1469417017	34	17
496932216	34	16
853912127	39	18
845572966	33	17
786890817	34	17
2015653010	37	17
1357121571	37	15
806919108	34	17
629089604	34	18
1953643392	32	17
1273391833	37	16
1227180018	47	15
150872885	37	15
1873976553	33	15
1042607495	36	18
415736839	32	16
15818055	38	17
1040791182	40	17
311291815	31	17
1252042214	36	15
779892728	38	16
116733937	43	17
918591740	37	16
1232779095	40	17
787493750	34	18
29277561	37	16
1617280277	38	15
533913029	39	16
1299098493	40	16
412274229	34	16
